,B01003_001E,state,county,tract
811,4529,06,037,460302
812,1071,06,037,460401
813,5151,06,037,460501
814,4725,06,037,460502
815,5312,06,037,460601
816,4890,06,037,460700
817,2822,06,037,460800
818,6669,06,037,460900
819,5780,06,037,461000
820,5438,06,037,461100
821,4497,06,037,461200
822,6456,06,037,461300
823,3207,06,037,461400
824,3917,06,037,461501
825,6533,06,037,461502
826,6125,06,037,461600
827,1450,06,037,461700
828,4809,06,037,461901
829,1814,06,037,461902
830,4524,06,037,462001
831,3633,06,037,462002
832,5504,06,037,462100
833,3883,06,037,462201
834,3083,06,037,462202
835,5216,06,037,462301
836,3311,06,037,462302
837,3943,06,037,462400
838,6538,06,037,462500
839,2286,06,037,462600
840,5386,06,037,462700
841,2854,06,037,462800
842,3700,06,037,462900
843,2368,06,037,603703
844,2976,06,037,603705
845,3227,06,037,603706
846,4926,06,037,603801
847,4072,06,037,603802
848,3551,06,037,603901
849,3757,06,037,603902
850,4992,06,037,604001
851,4250,06,037,604002
852,4307,06,037,604101
853,2678,06,037,604102
854,6009,06,037,604200
855,2015,06,037,609900
856,4216,06,037,620001
857,3540,06,037,620002
858,5292,06,037,620101
859,3527,06,037,620102
860,1643,06,037,620201
861,4403,06,037,620301
862,4819,06,037,620303
863,5848,06,037,620305
864,5309,06,037,620400
865,5675,06,037,620501
866,4323,06,037,620521
867,4656,06,037,620522
868,5159,06,037,620601
869,5224,06,037,620602
870,7207,06,037,620701
871,3436,06,037,620703
872,3555,06,037,620704
873,4167,06,037,620801
874,3198,06,037,620802
875,2921,06,037,620901
876,2756,06,037,620904
877,4426,06,037,621001
878,4674,06,037,621005
879,4836,06,037,603702
880,3193,06,037,621102
881,6854,06,037,621104
882,6807,06,037,621201
883,2825,06,037,621204
884,6742,06,037,621301
885,3704,06,037,621324
886,4680,06,037,113322
887,4029,06,037,113323
888,2844,06,037,113324
889,3017,06,037,113423
890,3493,06,037,113424
891,4407,06,037,113425
892,2414,06,037,113426
893,1770,06,037,113427
894,4237,06,037,113428
895,4932,06,037,115101
896,3181,06,037,115103
897,4619,06,037,115104
898,6393,06,037,115202
899,2652,06,037,115203
900,4054,06,037,115204
901,4648,06,037,115301
902,3835,06,037,115302
903,6185,06,037,115401
904,3597,06,037,115403
905,2897,06,037,115404
906,5094,06,037,117101
907,2745,06,037,117102
908,5126,06,037,117201
909,2857,06,037,117202
910,3679,06,037,117301
911,4932,06,037,117302
912,4369,06,037,117303
913,5646,06,037,117404
914,3421,06,037,117405
915,3715,06,037,117407
916,2803,06,037,117408
917,3661,06,037,117510
918,4226,06,037,117520
919,6231,06,037,117530
920,4583,06,037,119001
921,4425,06,037,119003
922,3353,06,037,119004
923,4426,06,037,119201
924,4756,06,037,119202
925,4297,06,037,119310
926,4735,06,037,119320
927,4031,06,037,119340
928,2825,06,037,119341
929,3975,06,037,231210
930,4482,06,037,231220
931,2349,06,037,231301
932,3258,06,037,231302
933,4869,06,037,231400
934,5257,06,037,231500
935,2652,06,037,231601
936,2088,06,037,231602
937,2782,06,037,231603
938,4135,06,037,231710
939,5016,06,037,231720
940,5720,06,037,231800
941,3137,06,037,231901
942,3261,06,037,231902
943,2920,06,037,232110
944,5457,06,037,232120
945,3619,06,037,232200
946,5492,06,037,232300
947,3912,06,037,232401
948,3089,06,037,232402
949,5039,06,037,232500
950,1905,06,037,232601
951,4840,06,037,232602
952,2464,06,037,232701
953,4290,06,037,232702
954,4568,06,037,232800
955,2595,06,037,234001
956,2711,06,037,234002
957,2520,06,037,234200
958,1869,06,037,234301
959,2144,06,037,234302
960,2974,06,037,234501
961,3195,06,037,234502
962,5011,06,037,234600
963,3692,06,037,234700
964,3371,06,037,234800
965,3315,06,037,234901
966,4222,06,037,234902
967,4229,06,037,235100
968,2835,06,037,235201
969,4068,06,037,235202
970,4082,06,037,236001
971,2628,06,037,236101
972,2919,06,037,463000
973,6125,06,037,463103
974,3602,06,037,463200
975,2038,06,037,463300
976,5835,06,037,463400
977,6064,06,037,463500
978,5993,06,037,463601
979,6414,06,037,463602
980,3151,06,037,463700
981,4188,06,037,463800
982,3249,06,037,463900
983,5575,06,037,464000
984,2176,06,037,464101
985,4742,06,037,464102
986,6102,06,037,464200
987,3978,06,037,480002
988,5154,06,037,480011
989,4689,06,037,480012
990,3996,06,037,480101
991,4428,06,037,480102
992,3722,06,037,480201
993,2772,06,037,480202
994,4217,06,037,480302
995,4499,06,037,480303
996,4482,06,037,480304
997,5446,06,037,480400
998,5137,06,037,480500
999,3925,06,037,480601
1000,3959,06,037,480602
1001,4134,06,037,480702
1002,4132,06,037,480703
1003,4191,06,037,480704
1004,3277,06,037,480802
1005,3474,06,037,480803
1006,5350,06,037,480804
1007,5020,06,037,480901
1008,4452,06,037,480902
1009,3181,06,037,480903
1010,4826,06,037,481001
1011,5187,06,037,481002
1012,4427,06,037,481101
1013,3643,06,037,481102
1014,5365,06,037,481103
1015,3028,06,037,621326
1016,4322,06,037,621400
1017,5676,06,037,650001
1018,3024,06,037,650003
1019,4349,06,037,650004
1020,5778,06,037,650101
1021,2148,06,037,650102
1022,5794,06,037,650200
1023,6790,06,037,650300
1024,4667,06,037,650401
1025,2850,06,037,650501
1026,4318,06,037,650502
1027,3672,06,037,650603
1028,6228,06,037,650604
1029,2713,06,037,650605
1030,4264,06,037,650606
1031,2670,06,037,650607
1032,2538,06,037,650701
1033,4613,06,037,650702
